"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8270adf703aca7b675986a41cc16fd6b83c7b76d","2018-10-01T09:34:27Z","2","4","1","5","1","0","0"
"1cbb60d7eddef1fc27d050a74b0f7ffbd9d64740","2018-09-30T11:48:11Z","4","16","25","41","1","0","0"
"653cb152e2cf03fe80eaac2f49b1fae494c49420","2018-09-29T07:41:05Z","0","0","0","0","0","0","0"
"bb6b647af8988fea006c123bdff68d1f97eac966","2018-09-28T16:38:54Z","3","141","1","142","1","0","0"
"7e21d80de21a4303d1884e0a2c8676b7425f4967","2018-09-27T17:38:45Z","0","0","0","0","0","1","0"
"98162615699a8f39fe191ad3f59239b82ab13ea8","2018-09-27T15:39:49Z","2","646","643","1289","1","0","0"
"cf879dd8e82d542bb39e2604a0d2503baa999784","2018-09-27T08:00:58Z","2","44","6","50","1","0","0"
"d8c13276580bcae65f0ffe473c2646cdc5670a1c","2018-09-27T08:00:15Z","0","0","0","0","0","1","0"
"d737ea296e72efc89f7e0d387e2d97d2a9629deb","2018-09-27T07:59:05Z","2","3","5","8","1","0","0"
"681ce91ab8c5d6591cbba50c2bff2c96289e3189","2018-09-26T12:39:04Z","2","1783","1783","3566","1","0","0"
"6121217df5ceb4a12e82e889ac6a3ba757e0ea3b","2018-09-26T08:39:36Z","1","210","211","421","1","0","0"
"ef4cfacaf4106aac7d955b31911eef2234dc3662","2018-09-26T08:19:54Z","1","3","2","5","1","0","0"
"9015d0a1fc5679289e838d9437508b31713f957f","2018-09-26T08:18:56Z","1","6","1","7","1","0","0"
"cdcd2f8b04b418b502fe4c1df310a3115202283f","2018-09-24T18:33:05Z","1","38","37","75","1","0","0"
"9e7db440dfc3e1aaea8093e516db7d48d0fa636f","2018-09-24T17:47:20Z","0","0","0","0","0","0","0"
"23b641a6adcd639188acd3a3b44cb0c89edd007d","2018-09-24T17:47:11Z","2","3","9","12","1","0","0"
